år,Genomsnittlig_årshyra_per_kvm_kr,±_Felmarginal_kr
1969,61,0.2
1970,65,0.2
1971,69,0.4
1972,74,0.4
1973,81,0.4
1974,91,0.4
1975,99,0.4
1976,110,0.4
1977,122,0.4
1978,138,0.4
1979,153,0.6
1980,175,0.6
1981,198,0.6
1982,223,0.8
1983,245,0.8
1984,260,1.0
1985,279,1.0
1986,298,1.0
1987,318,1.2
1988,340,1.2
1989,366,1.4
1990,418,1.4
1991,524,2.0
1992,568,2.0
1993,614,2.0
1994,640,2.0
1995,658,2.0
1996,685,4.0
1997,705,2.0
1998,711,2.0
1999,716,3.0
2000,724,3.0
2001,732,4.0
2002,755,4.0
2003,774,3.0
2004,798,3.0
2005,818,3.0
2006,826,3.0
2007,842,3.0
2008,867,3.0
2009,898,3.0
2010,912,4.0
2011,937,4.0
2012,966,4.0
2013,996,4.0
2014,1019,4.0
2015,..,..
2016,1050,4.0
2017,1073,4.0
2018,1099,4.0
2019,1134,4.0
2020,1169,4.0
2021,1198,4.0
2022,1238,4.0
