"Statsskulden, ställning, mkr efter månad och kontopost"

"månad","summa statsskuld"
"1970M01",32862
"1970M02",32697
"1970M03",31154
"1970M04",32593
"1970M05",29460
"1970M06",30960
"1970M07",31508
"1970M08",31512
"1970M09",31461
"1970M10",33207
"1970M11",32548
"1970M12",36155
"1971M01",36344
"1971M02",35142
"1971M03",34579
"1971M04",35401
"1971M05",33048
"1971M06",33402
"1971M07",35289
"1971M08",34681
"1971M09",34967
"1971M10",36245
"1971M11",37275
"1971M12",38786
"1972M01",39546
"1972M02",38156
"1972M03",38195
"1972M04",39223
"1972M05",36537
"1972M06",37209
"1972M07",39050
"1972M08",38467
"1972M09",39053
"1972M10",40380
"1972M11",42623
"1972M12",45136
"1973M01",45869
"1973M02",44278
"1973M03",44295
"1973M04",45425
"1973M05",42949
"1973M06",43211
"1973M07",45994
"1973M08",44775
"1973M09",45501
"1973M10",46523
"1973M11",48915
"1973M12",51287
"1974M01",52761
"1974M02",50655
"1974M03",52491
"1974M04",53488
"1974M05",51385
"1974M06",52675
"1974M07",55269
"1974M08",54726
"1974M09",56444
"1974M10",57226
"1974M11",60085
"1974M12",62014
"1975M01",64075
"1975M02",61801
"1975M03",64786
"1975M04",65019
"1975M05",63071
"1975M06",63680
"1975M07",67302
"1975M08",65704
"1975M09",67645
"1975M10",68355
"1975M11",70358
"1975M12",73467
"1976M01",75192
"1976M02",71075
"1976M03",74120
"1976M04",73824
"1976M05",69117
"1976M06",68760
"1976M07",72716
"1976M08",69361
"1976M09",72231
"1976M10",74300
"1976M11",78303
"1976M12",80411
"1977M01",83282
"1977M02",79331
"1977M03",85677
"1977M04",85886
"1977M05",80000
"1977M06",82340
"1977M07",87932
"1977M08",86079
"1977M09",88272
"1977M10",88791
"1977M11",96144
"1977M12",97982
"1978M01",103277
"1978M02",98702
"1978M03",107348
"1978M04",107214
"1978M05",104274
"1978M06",105239
"1978M07",115188
"1978M08",111268
"1978M09",117253
"1978M10",116722
"1978M11",127985
"1978M12",131175
"1979M01",138667
"1979M02",134822
"1979M03",142603
"1979M04",142497
"1979M05",140296
"1979M06",139085
"1979M07",153180
"1979M08",149546
"1979M09",159084
"1979M10",160927
"1979M11",170119
"1979M12",175145
"1980M01",186379
"1980M02",181804
"1980M03",193014
"1980M04",192591
"1980M05",192378
"1980M06",192088
"1980M07",207477
"1980M08",202251
"1980M09",211151
"1980M10",215689
"1980M11",223534
"1980M12",229589
"1981M01",243213
"1981M02",236876
"1981M03",249763
"1981M04",249197
"1981M05",253651
"1981M06",252968
"1981M07",260688
"1981M08",260766
"1981M09",265677
"1981M10",276309
"1981M11",280660
"1981M12",295590
"1982M01",301779
"1982M02",303309
"1982M03",311661
"1982M04",321256
"1982M05",309542
"1982M06",319686
"1982M07",329226
"1982M08",331086
"1982M09",335990
"1982M10",353962
"1982M11",358490
"1982M12",377089
"1983M01",385854
"1983M02",388504
"1983M03",399830
"1983M04",406643
"1983M05",402179
"1983M06",407325
"1983M07",415056
"1983M08",417133
"1983M09",424502
"1983M10",442659
"1983M11",451756
"1983M12",460196
"1984M01",469078
"1984M02",475820
"1984M03",485631
"1984M04",492177
"1984M05",477682
"1984M06",482636
"1984M07",488824
"1984M08",489096
"1984M09",492510
"1984M10",508150
"1984M11",519476
"1984M12",534622
"1985M01",537200
"1985M02",547751
"1985M03",558122
"1985M04",564668
"1985M05",548502
"1985M06",559459
"1985M07",560679
"1985M08",560111
"1985M09",562444
"1985M10",571127
"1985M11",576744
"1985M12",595695
"1986M01",599834
"1986M02",602404
"1986M03",609082
"1986M04",607058
"1986M05",597545
"1986M06",596015
"1986M07",597752
"1986M08",592354
"1986M09",602758
"1986M10",607698
"1986M11",614841
"1986M12",630784
"1987M01",627309
"1987M02",635012
"1987M03",637851
"1987M04",637344
"1987M05",616025
"1987M06",609248
"1987M07",610253
"1987M08",601915
"1987M09",609161
"1987M10",612054
"1987M11",614275
"1987M12",622272
"1988M01",623452
"1988M02",630753
"1988M03",630619
"1988M04",625335
"1988M05",597708
"1988M06",597621
"1988M07",593948
"1988M08",586550
"1988M09",597002
"1988M10",596515
"1988M11",603361
"1988M12",609940
"1989M01",605658
"1989M02",611072
"1989M03",611325
"1989M04",605880
"1989M05",585281
"1989M06",589712
"1989M07",586030
"1989M08",578922
"1989M09",587036
"1989M10",588986
"1989M11",593361
"1989M12",600049
"1990M01",595508
"1990M02",599144
"1990M03",602708
"1990M04",594798
"1990M05",581902
"1990M06",582456
"1990M07",581974
"1990M08",572961
"1990M09",588592
"1990M10",606448
"1990M11",604787
"1990M12",618571
"1991M01",617229
"1991M02",622410
"1991M03",642075
"1991M04",635330
"1991M05",622989
"1991M06",626698
"1991M07",628481
"1991M08",622332
"1991M09",646796
"1991M10",651505
"1991M11",664670
"1991M12",692956
"1992M01",704057
"1992M02",692117
"1992M03",706910
"1992M04",705794
"1992M05",709189
"1992M06",710982
"1992M07",729151
"1992M08",728832
"1992M09",763337
"1992M10",784252
"1992M11",845587
"1992M12",880800
"1993M01",939224
"1993M02",952534
"1993M03",964926
"1993M04",953580
"1993M05",953435
"1993M06",960611
"1993M07",1003711
"1993M08",998871
"1993M09",1042354
"1993M10",1051325
"1993M11",1086300
"1993M12",1132267
"1994M01",1150432
"1994M02",1147420
"1994M03",1161886
"1994M04",1150560
"1994M05",1163788
"1994M06",1178643
"1994M07",1206666
"1994M08",1215294
"1994M09",1235317
"1994M10",1232414
"1994M11",1270227
"1994M12",1286597
"1995M01",1326136
"1995M02",1313992
"1995M03",1345928
"1995M04",1348498
"1995M05",1355460
"1995M06",1370401
"1995M07",1366089
"1995M08",1368964
"1995M09",1374829
"1995M10",1359784
"1995M11",1369600
"1995M12",1386165
"1996M01",1411036
"1996M02",1380547
"1996M03",1371928
"1996M04",1369604
"1996M05",1373428
"1996M06",1373616
"1996M07",1394503
"1996M08",1398772
"1996M09",1394000
"1996M10",1394822
"1996M11",1395538
"1996M12",1411193
"1997M01",1423377
"1997M02",1409109
"1997M03",1408681
"1997M04",1426017
"1997M05",1428378
"1997M06",1432819
"1997M07",1437743
"1997M08",1424200
"1997M09",1408084
"1997M10",1418288
"1997M11",1432670
"1997M12",1432076
"1998M01",1440267
"1998M02",1413381
"1998M03",1406793
"1998M04",1398124
"1998M05",1394929
"1998M06",1392866
"1998M07",1401988
"1998M08",1411889
"1998M09",1409432
"1998M10",1431075
"1998M11",1429582
"1998M12",1448859
"1999M01",1430113
"1999M02",1427744
"1999M03",1409824
"1999M04",1396285
"1999M05",1405587
"1999M06",1391259
"1999M07",1385363
"1999M08",1385952
"1999M09",1372939
"1999M10",1373448
"1999M11",1372916
"1999M12",1374180
"2000M01",1358417
"2000M02",1330188
"2000M03",1312979
"2000M04",1309238
"2000M05",1307239
"2000M06",1241329
"2000M07",1229438
"2000M08",1238303
"2000M09",1229752
"2000M10",1240375
"2000M11",1288849
"2000M12",1279205
"2001M01",1222937
"2001M02",1185971
"2001M03",1185103
"2001M04",1186266
"2001M05",1194916
"2001M06",1163644
"2001M07",1156940
"2001M08",1166956
"2001M09",1145602
"2001M10",1136753
"2001M11",1126924
"2001M12",1156827
"2002M01",1149272
"2002M02",1128475
"2002M03",1128326
"2002M04",1133137
"2002M05",1118338
"2002M06",1093801
"2002M07",1136064
"2002M08",1147839
"2002M09",1148053
"2002M10",1156138
"2002M11",1152662
"2002M12",1160329
"2003M01",1248286
"2003M02",1217164
"2003M03",1221628
"2003M04",1234663
"2003M05",1198771
"2003M06",1194515
"2003M07",1193146
"2003M08",1224571
"2003M09",1198907
"2003M10",1207175
"2003M11",1228653
"2003M12",1228740
"2004M01",1265428
"2004M02",1258230
"2004M03",1267140
"2004M04",1246389
"2004M05",1227737
"2004M06",1230559
"2004M07",1229532
"2004M08",1237953
"2004M09",1242692
"2004M10",1246468
"2004M11",1237073
"2004M12",1257326
"2005M01",1286784
"2005M02",1269500
"2005M03",1269454
"2005M04",1251464
"2005M05",1245837
"2005M06",1248052
"2005M07",1243059
"2005M08",1254413
"2005M09",1257816
"2005M10",1277615
"2005M11",1313370
"2005M12",1309462
"2006M01",1303294
"2006M02",1292834
"2006M03",1267689
"2006M04",1243138
"2006M05",1236131
"2006M06",1237696
"2006M07",1217857
"2006M08",1227652
"2006M09",1221195
"2006M10",1221758
"2006M11",1240719
"2006M12",1269957
"2007M01",1248846
"2007M02",1235868
"2007M03",1207676
"2007M04",1189405
"2007M05",1193291
"2007M06",1165957
"2007M07",1159641
"2007M08",1172606
"2007M09",1128175
"2007M10",1104341
"2007M11",1107119
"2007M12",1167998
"2008M01",1144806
"2008M02",1093429
"2008M03",1074934
"2008M04",1052466
"2008M05",1048007
"2008M06",1025532
"2008M07",1040631
"2008M08",1036227
"2008M09",1085900
"2008M10",1141646
"2008M11",1133323
"2008M12",1118877
"2009M01",1074761
"2009M02",1019290
"2009M03",1009180
"2009M04",1040316
"2009M05",1020797
"2009M06",1078703
"2009M07",1037191
"2009M08",1049890
"2009M09",1088725
"2009M10",1109927
"2009M11",1114853
"2009M12",1189171
"2010M01",1167575
"2010M02",1110809
"2010M03",1130051
"2010M04",1104047
"2010M05",1116525
"2010M06",1114914
"2010M07",1061768
"2010M08",1055408
"2010M09",1082136
"2010M10",1072342
"2010M11",1079802
"2010M12",1151468
"2011M01",1113540
"2011M02",1061319
"2011M03",1064683
"2011M04",1031480
"2011M05",1053165
"2011M06",1059605
"2011M07",1033519
"2011M08",1057809
"2011M09",1023931
"2011M10",1012240
"2011M11",1036293
"2011M12",1107675
"2012M01",1134537
"2012M02",1104498
"2012M03",1070742
"2012M04",1077521
"2012M05",1084221
"2012M06",1088837
"2012M07",1071313
"2012M08",1071479
"2012M09",1078301
"2012M10",1072771
"2012M11",1066639
"2012M12",1152662
"2013M01",1246691
"2013M02",1221314
"2013M03",1210522
"2013M04",1212263
"2013M05",1211210
"2013M06",1203462
"2013M07",1201666
"2013M08",1202820
"2013M09",1200091
"2013M10",1201371
"2013M11",1217456
"2013M12",1277069
"2014M01",1293209
"2014M02",1247294
"2014M03",1246569
"2014M04",1224789
"2014M05",1225320
"2014M06",1254645
"2014M07",1257594
"2014M08",1261400
"2014M09",1284466
"2014M10",1302530
"2014M11",1290660
"2014M12",1394314
"2015M01",1395528
"2015M02",1366213
"2015M03",1381080
"2015M04",1374973
"2015M05",1363663
"2015M06",1383034
"2015M07",1381460
"2015M08",1365630
"2015M09",1354613
"2015M10",1344086
"2015M11",1322969
"2015M12",1403421
"2016M01",1399271
"2016M02",1346798
"2016M03",1321262
"2016M04",1305306
"2016M05",1316856
"2016M06",1362787
"2016M07",1310896
"2016M08",1365614
"2016M09",1292168
"2016M10",1352180
"2016M11",1335811
"2016M12",1347253
"2017M01",1326088
"2017M02",1329180
"2017M03",1332410
"2017M04",1307468
"2017M05",1306874
"2017M06",1310263
"2017M07",1329531
"2017M08",1241906
"2017M09",1240186
"2017M10",1295685
"2017M11",1274296
"2017M12",1327927
"2018M01",1250094
"2018M02",1241586
"2018M03",1223914
"2018M04",1228655
"2018M05",1231174
"2018M06",1231095
"2018M07",1195589
"2018M08",1203309
"2018M09",1206450
"2018M10",1200033
"2018M11",1210002
"2018M12",1262091
"2019M01",1204940
"2019M02",1224418
"2019M03",1144914
"2019M04",1140993
"2019M05",1077833
"2019M06",1110506
"2019M07",1073905
"2019M08",1072931
"2019M09",1071136
"2019M10",1034777
"2019M11",1050628
"2019M12",1112796
"2020M01",1091794
"2020M02",1055288
"2020M03",1118482
"2020M04",1148154
"2020M05",1129350
"2020M06",1157728
"2020M07",1185724
"2020M08",1180767
"2020M09",1210292
"2020M10",1237548
"2020M11",1136528
"2020M12",1280392
"2021M01",1270094
"2021M02",1221669
"2021M03",1239196
"2021M04",1225905
"2021M05",1199631
"2021M06",1226638
"2021M07",1214090
"2021M08",1172541
"2021M09",1139452
"2021M10",1146498
"2021M11",1136431
"2021M12",1204265
"2022M01",1203108
"2022M02",1140196
"2022M03",1109205
"2022M04",1132465
"2022M05",1033715
"2022M06",1089549
"2022M07",1074707
"2022M08",1071133
"2022M09",1073370
"2022M10",1043567
"2022M11",1052608
"2022M12",1092665
